Sensor,Date_Time,Date,Time,Count
Lygon St (West),2018-12-01 05:00:00,2018-12-01,5,3
City Square,2018-12-01 05:00:00,2018-12-01,5,NA
Flinders St-Spring St (West),2018-12-01 05:00:00,2018-12-01,5,15
Flinders St-Spark La,2018-12-01 05:00:00,2018-12-01,5,11
Southbank,2018-12-01 05:00:00,2018-12-01,5,117
Queen St (West),2018-12-01 05:00:00,2018-12-01,5,24
Lygon St (East),2018-12-01 05:00:00,2018-12-01,5,12
Flinders St-Swanston St (West),2018-12-01 05:00:00,2018-12-01,5,54
Alfred Place,2018-12-01 05:00:00,2018-12-01,5,NA
Lonsdale St-Spring St (West),2018-12-01 05:00:00,2018-12-01,5,15
Grattan St-Swanston St (West),2018-12-01 05:00:00,2018-12-01,5,NA
Monash Rd-Swanston St (West),2018-12-01 05:00:00,2018-12-01,5,2
Tin Alley-Swanston St (West),2018-12-01 05:00:00,2018-12-01,5,3
Bourke Street Mall (North),2018-12-01 06:00:00,2018-12-01,6,62
Bourke Street Mall (South),2018-12-01 06:00:00,2018-12-01,6,128
Melbourne Central,2018-12-01 06:00:00,2018-12-01,6,92
Town Hall (West),2018-12-01 06:00:00,2018-12-01,6,120
Princes Bridge,2018-12-01 06:00:00,2018-12-01,6,59
Flinders Street Station Underpass,2018-12-01 06:00:00,2018-12-01,6,308
Birrarung Marr,2018-12-01 06:00:00,2018-12-01,6,52
Webb Bridge,2018-12-01 06:00:00,2018-12-01,6,57
Southern Cross Station,2018-12-01 06:00:00,2018-12-01,6,71
Victoria Point,2018-12-01 06:00:00,2018-12-01,6,17
Waterfront City,2018-12-01 06:00:00,2018-12-01,6,7
New Quay,2018-12-01 06:00:00,2018-12-01,6,40
Flagstaff Station,2018-12-01 06:00:00,2018-12-01,6,NA
Sandridge Bridge,2018-12-01 06:00:00,2018-12-01,6,147
State Library,2018-12-01 06:00:00,2018-12-01,6,60
Collins St (North),2018-12-01 06:00:00,2018-12-01,6,62
Collins Place (South),2018-12-01 06:00:00,2018-12-01,6,51
Collins Place (North),2018-12-01 06:00:00,2018-12-01,6,33
Chinatown-Swanston St (North),2018-12-01 06:00:00,2018-12-01,6,38
Chinatown-Lt Bourke St (South),2018-12-01 06:00:00,2018-12-01,6,63
Bourke St-Russell St (West),2018-12-01 06:00:00,2018-12-01,6,85
Flinders St-Elizabeth St (East),2018-12-01 06:00:00,2018-12-01,6,325
Spencer St-Collins St (South),2018-12-01 06:00:00,2018-12-01,6,51
Spencer St-Collins St (North),2018-12-01 06:00:00,2018-12-01,6,324
Melbourne Convention Exhibition Centre,2018-12-01 06:00:00,2018-12-01,6,94
QV Market-Elizabeth St (West),2018-12-01 06:00:00,2018-12-01,6,147
QV Market-Peel St,2018-12-01 06:00:00,2018-12-01,6,55
The Arts Centre,2018-12-01 06:00:00,2018-12-01,6,126
St Kilda Rd-Alexandra Gardens,2018-12-01 06:00:00,2018-12-01,6,67
Lonsdale St (South),2018-12-01 06:00:00,2018-12-01,6,47
Lygon St (West),2018-12-01 06:00:00,2018-12-01,6,48
City Square,2018-12-01 06:00:00,2018-12-01,6,NA
Flinders St-Spring St (West),2018-12-01 06:00:00,2018-12-01,6,35
Flinders St-Spark La,2018-12-01 06:00:00,2018-12-01,6,21
Southbank,2018-12-01 06:00:00,2018-12-01,6,322
Queen St (West),2018-12-01 06:00:00,2018-12-01,6,21
Lygon St (East),2018-12-01 06:00:00,2018-12-01,6,7
Flinders St-Swanston St (West),2018-12-01 06:00:00,2018-12-01,6,114
Alfred Place,2018-12-01 06:00:00,2018-12-01,6,NA
Lonsdale St-Spring St (West),2018-12-01 06:00:00,2018-12-01,6,37
Grattan St-Swanston St (West),2018-12-01 06:00:00,2018-12-01,6,NA
Monash Rd-Swanston St (West),2018-12-01 06:00:00,2018-12-01,6,9
Tin Alley-Swanston St (West),2018-12-01 06:00:00,2018-12-01,6,3
Bourke Street Mall (North),2018-12-01 07:00:00,2018-12-01,7,154
Bourke Street Mall (South),2018-12-01 07:00:00,2018-12-01,7,131
Melbourne Central,2018-12-01 07:00:00,2018-12-01,7,253
Town Hall (West),2018-12-01 07:00:00,2018-12-01,7,285
Princes Bridge,2018-12-01 07:00:00,2018-12-01,7,65
Flinders Street Station Underpass,2018-12-01 07:00:00,2018-12-01,7,447
Birrarung Marr,2018-12-01 07:00:00,2018-12-01,7,146
Webb Bridge,2018-12-01 07:00:00,2018-12-01,7,105
Southern Cross Station,2018-12-01 07:00:00,2018-12-01,7,85
Victoria Point,2018-12-01 07:00:00,2018-12-01,7,52
Waterfront City,2018-12-01 07:00:00,2018-12-01,7,26
New Quay,2018-12-01 07:00:00,2018-12-01,7,84
Flagstaff Station,2018-12-01 07:00:00,2018-12-01,7,NA
Sandridge Bridge,2018-12-01 07:00:00,2018-12-01,7,219
State Library,2018-12-01 07:00:00,2018-12-01,7,115
Collins St (North),2018-12-01 07:00:00,2018-12-01,7,159
Collins Place (South),2018-12-01 07:00:00,2018-12-01,7,87
Collins Place (North),2018-12-01 07:00:00,2018-12-01,7,49
Chinatown-Swanston St (North),2018-12-01 07:00:00,2018-12-01,7,57
Chinatown-Lt Bourke St (South),2018-12-01 07:00:00,2018-12-01,7,87
Bourke St-Russell St (West),2018-12-01 07:00:00,2018-12-01,7,102
Flinders St-Elizabeth St (East),2018-12-01 07:00:00,2018-12-01,7,514
Spencer St-Collins St (South),2018-12-01 07:00:00,2018-12-01,7,90
Spencer St-Collins St (North),2018-12-01 07:00:00,2018-12-01,7,645
Melbourne Convention Exhibition Centre,2018-12-01 07:00:00,2018-12-01,7,495
QV Market-Elizabeth St (West),2018-12-01 07:00:00,2018-12-01,7,298
QV Market-Peel St,2018-12-01 07:00:00,2018-12-01,7,113
The Arts Centre,2018-12-01 07:00:00,2018-12-01,7,248
St Kilda Rd-Alexandra Gardens,2018-12-01 07:00:00,2018-12-01,7,127
Lonsdale St (South),2018-12-01 07:00:00,2018-12-01,7,72
Lygon St (West),2018-12-01 07:00:00,2018-12-01,7,34
City Square,2018-12-01 07:00:00,2018-12-01,7,NA
Flinders St-Spring St (West),2018-12-01 07:00:00,2018-12-01,7,54
Flinders St-Spark La,2018-12-01 07:00:00,2018-12-01,7,49
Southbank,2018-12-01 07:00:00,2018-12-01,7,580
Queen St (West),2018-12-01 07:00:00,2018-12-01,7,67
Lygon St (East),2018-12-01 07:00:00,2018-12-01,7,22
Flinders St-Swanston St (West),2018-12-01 07:00:00,2018-12-01,7,237
Alfred Place,2018-12-01 07:00:00,2018-12-01,7,NA
Lonsdale St-Spring St (West),2018-12-01 07:00:00,2018-12-01,7,73
Grattan St-Swanston St (West),2018-12-01 07:00:00,2018-12-01,7,NA
Monash Rd-Swanston St (West),2018-12-01 07:00:00,2018-12-01,7,13
Tin Alley-Swanston St (West),2018-12-01 07:00:00,2018-12-01,7,9
Bourke Street Mall (North),2018-12-01 08:00:00,2018-12-01,8,602
Bourke Street Mall (South),2018-12-01 08:00:00,2018-12-01,8,318
Melbourne Central,2018-12-01 08:00:00,2018-12-01,8,358
Town Hall (West),2018-12-01 08:00:00,2018-12-01,8,487
Princes Bridge,2018-12-01 08:00:00,2018-12-01,8,220
Flinders Street Station Underpass,2018-12-01 08:00:00,2018-12-01,8,657
Birrarung Marr,2018-12-01 08:00:00,2018-12-01,8,167
Webb Bridge,2018-12-01 08:00:00,2018-12-01,8,136
Southern Cross Station,2018-12-01 08:00:00,2018-12-01,8,110
Victoria Point,2018-12-01 08:00:00,2018-12-01,8,58
Waterfront City,2018-12-01 08:00:00,2018-12-01,8,41
New Quay,2018-12-01 08:00:00,2018-12-01,8,166
Flagstaff Station,2018-12-01 08:00:00,2018-12-01,8,NA
Sandridge Bridge,2018-12-01 08:00:00,2018-12-01,8,328
State Library,2018-12-01 08:00:00,2018-12-01,8,184
Collins St (North),2018-12-01 08:00:00,2018-12-01,8,446
Collins Place (South),2018-12-01 08:00:00,2018-12-01,8,156
Collins Place (North),2018-12-01 08:00:00,2018-12-01,8,74
Chinatown-Swanston St (North),2018-12-01 08:00:00,2018-12-01,8,76
Chinatown-Lt Bourke St (South),2018-12-01 08:00:00,2018-12-01,8,66
Bourke St-Russell St (West),2018-12-01 08:00:00,2018-12-01,8,186
Flinders St-Elizabeth St (East),2018-12-01 08:00:00,2018-12-01,8,862
Spencer St-Collins St (South),2018-12-01 08:00:00,2018-12-01,8,142
Spencer St-Collins St (North),2018-12-01 08:00:00,2018-12-01,8,932
Melbourne Convention Exhibition Centre,2018-12-01 08:00:00,2018-12-01,8,543
QV Market-Elizabeth St (West),2018-12-01 08:00:00,2018-12-01,8,465
QV Market-Peel St,2018-12-01 08:00:00,2018-12-01,8,160
The Arts Centre,2018-12-01 08:00:00,2018-12-01,8,553
St Kilda Rd-Alexandra Gardens,2018-12-01 08:00:00,2018-12-01,8,182
Lonsdale St (South),2018-12-01 08:00:00,2018-12-01,8,120
Lygon St (West),2018-12-01 08:00:00,2018-12-01,8,103
City Square,2018-12-01 08:00:00,2018-12-01,8,NA
Flinders St-Spring St (West),2018-12-01 08:00:00,2018-12-01,8,88
Flinders St-Spark La,2018-12-01 08:00:00,2018-12-01,8,65
Southbank,2018-12-01 08:00:00,2018-12-01,8,977
Queen St (West),2018-12-01 08:00:00,2018-12-01,8,163
Lygon St (East),2018-12-01 08:00:00,2018-12-01,8,60
Flinders St-Swanston St (West),2018-12-01 08:00:00,2018-12-01,8,389
Alfred Place,2018-12-01 08:00:00,2018-12-01,8,NA
Lonsdale St-Spring St (West),2018-12-01 08:00:00,2018-12-01,8,141
Grattan St-Swanston St (West),2018-12-01 08:00:00,2018-12-01,8,NA
Monash Rd-Swanston St (West),2018-12-01 08:00:00,2018-12-01,8,21
Tin Alley-Swanston St (West),2018-12-01 08:00:00,2018-12-01,8,22
Bourke Street Mall (North),2018-12-01 09:00:00,2018-12-01,9,1087
Bourke Street Mall (South),2018-12-01 09:00:00,2018-12-01,9,902
Melbourne Central,2018-12-01 09:00:00,2018-12-01,9,609
Town Hall (West),2018-12-01 09:00:00,2018-12-01,9,1004
Princes Bridge,2018-12-01 09:00:00,2018-12-01,9,360
Flinders Street Station Underpass,2018-12-01 09:00:00,2018-12-01,9,899
Birrarung Marr,2018-12-01 09:00:00,2018-12-01,9,261
Webb Bridge,2018-12-01 09:00:00,2018-12-01,9,195
Southern Cross Station,2018-12-01 09:00:00,2018-12-01,9,137
Victoria Point,2018-12-01 09:00:00,2018-12-01,9,83
Waterfront City,2018-12-01 09:00:00,2018-12-01,9,59
New Quay,2018-12-01 09:00:00,2018-12-01,9,262
Flagstaff Station,2018-12-01 09:00:00,2018-12-01,9,NA
Sandridge Bridge,2018-12-01 09:00:00,2018-12-01,9,445
State Library,2018-12-01 09:00:00,2018-12-01,9,360
